Horizonte,Activo,Modelo,Regimen_Real,Regimen_Predicho,Conteo
Regimen prediccion 21,AMZN,Regresion Logistica,Bajo,Medio,40
Regimen prediccion 21,AMZN,Regresion Logistica,Bajo,Alto,8
Regimen prediccion 21,AMZN,Regresion Logistica,Medio,Bajo,1
Regimen prediccion 21,AMZN,Regresion Logistica,Medio,Medio,132
Regimen prediccion 21,AMZN,Regresion Logistica,Medio,Alto,74
Regimen prediccion 21,AMZN,Regresion Logistica,Alto,Bajo,33
Regimen prediccion 21,AMZN,Regresion Logistica,Alto,Medio,203
Regimen prediccion 21,AMZN,Regresion Logistica,Alto,Alto,251
Regimen prediccion 21,AMZN,Arbol de Decision,Bajo,Bajo,17
Regimen prediccion 21,AMZN,Arbol de Decision,Bajo,Medio,11
Regimen prediccion 21,AMZN,Arbol de Decision,Bajo,Alto,20
Regimen prediccion 21,AMZN,Arbol de Decision,Medio,Bajo,51
Regimen prediccion 21,AMZN,Arbol de Decision,Medio,Medio,48
Regimen prediccion 21,AMZN,Arbol de Decision,Medio,Alto,108
Regimen prediccion 21,AMZN,Arbol de Decision,Alto,Bajo,88
Regimen prediccion 21,AMZN,Arbol de Decision,Alto,Medio,155
Regimen prediccion 21,AMZN,Arbol de Decision,Alto,Alto,244
Regimen prediccion 21,AMZN,Random Forest,Bajo,Bajo,2
Regimen prediccion 21,AMZN,Random Forest,Bajo,Medio,22
Regimen prediccion 21,AMZN,Random Forest,Bajo,Alto,24
Regimen prediccion 21,AMZN,Random Forest,Medio,Bajo,5
Regimen prediccion 21,AMZN,Random Forest,Medio,Medio,44
Regimen prediccion 21,AMZN,Random Forest,Medio,Alto,158
Regimen prediccion 21,AMZN,Random Forest,Alto,Bajo,18
Regimen prediccion 21,AMZN,Random Forest,Alto,Medio,67
Regimen prediccion 21,AMZN,Random Forest,Alto,Alto,402
Regimen prediccion 21,AMZN,XGBoost,Bajo,Bajo,1
Regimen prediccion 21,AMZN,XGBoost,Bajo,Medio,17
Regimen prediccion 21,AMZN,XGBoost,Bajo,Alto,30
Regimen prediccion 21,AMZN,XGBoost,Medio,Bajo,4
Regimen prediccion 21,AMZN,XGBoost,Medio,Medio,59
Regimen prediccion 21,AMZN,XGBoost,Medio,Alto,144
Regimen prediccion 21,AMZN,XGBoost,Alto,Bajo,36
Regimen prediccion 21,AMZN,XGBoost,Alto,Medio,89
Regimen prediccion 21,AMZN,XGBoost,Alto,Alto,362
Regimen prediccion 21,AMZN,SVM,Bajo,Bajo,0
Regimen prediccion 21,AMZN,SVM,Bajo,Medio,39
Regimen prediccion 21,AMZN,SVM,Bajo,Alto,9
Regimen prediccion 21,AMZN,SVM,Medio,Bajo,4
